iter	Passed	Remaining
1498	71941	168022
1499	71987	167971
1500	72036	167926
1501	72082	167873
1502	72127	167818
1503	72179	167779
1504	72234	167747
1505	72290	167717
1506	72348	167694
1507	72393	167637
1508	72439	167585
1509	72493	167552
1510	72533	167484
1511	72577	167427
1512	72623	167375
1513	72664	167309
1514	72749	167346
1515	72832	167380
1516	72887	167348
1517	72938	167305
1518	72993	167274
1519	73044	167234
1520	73091	167182
1521	73148	167156
1522	73198	167110
1523	73253	167079
1524	73308	167048
1525	73354	166993
1526	73400	166941
1527	73447	166891
1528	73498	166849
1529	73538	166784
1530	73583	166728
1531	73627	166672
1532	73672	166616
1533	73716	166558
1534	73763	166507
1535	73839	166523
1536	73908	166522
1537	73958	166477
1538	74000	166416
1539	74041	166353
1540	74083	166290
1541	74127	166233
1542	74168	166170
1543	74214	166117
1544	74261	166066
1545	74302	166002
1546	74355	165965
1547	74408	165928
1548	74459	165887
1549	74503	165830
1550	74552	165783
1551	74596	165726
1552	74644	165679
1553	74687	165620
1554	74734	165570
1555	74776	165508
1556	74817	165444
1557	74868	165403
1558	74967	165466
1559	75015	165419
1560	75061	165366
1561	75104	165306
1562	75149	165252
1563	75193	165194
1564	75236	165136
1565	75283	165086
1566	75330	165033
1567	75373	164974
1568	75424	164933
1569	75472	164885
1570	75515	164826
1571	75569	164790
1572	75619	164747
1573	75661	164685
1574	75710	164641
1575	75757	164589
1576	75804	164539
1577	75847	164479
1578	75893	164427
1579	75938	164373
1580	75984	164321
1581	76095	164409
1582	76143	164360
1583	76182	164292
1584	76232	164248
1585	76275	164190
1586	76319	164131
1587	76364	164077
1588	76409	164022
1589	76454	163967
1590	76501	163917
1591	76549	163870
1592	76596	163818
1593	76648	163778
1594	76702	163744
1595	76747	163690
1596	76793	163636
1597	76836	163577
1598	76885	163531
1599	76925	163467
1600	76967	163406
1601	77017	163360
1602	77056	163294
1603	77137	163316
1604	77211	163322
1605	77254	163263
1606	77299	163209
1607	77344	163154
1608	77385	163091
1609	77432	163041
1610	77472	162976
1611	77515	162917
1612	77560	162862
1613	77609	162816
1614	77656	162766
1615	77704	162717
1616	77754	162673
1617	77797	162615
1618	77841	162559
1619	77891	162513
1620	77934	162455
1621	77977	162396
1622	78026	162350
1623	78067	162287
1624	78114	162237
1625	78159	162182
1626	78388	162510
1627	78437	162463
1628	78485	162415
1629	78525	162350
1630	78572	162300
1631	78621	162252
1632	78663	162191
1633	78708	162138
1634	78754	162084
1635	78795	162021
1636	78844	161975
1637	78901	161946
1638	78957	161912
1639	79007	161869
1640	79054	161817
1641	79102	161770
1642	79146	161713
1643	79189	161653
1644	79234	161599
1645	79283	161554
1646	79327	161496
1647	79371	161439
1648	79469	161493
1649	79537	161486
1650	79589	161445
1651	79636	161393
1652	79680	161338
1653	79725	161281
1654	79770	161228
1655	79817	161177
1656	79861	161120
1657	79911	161075
1658	79958	161026
1659	80013	160991
1660	80061	160942
1661	80114	160903
1662	80161	160854
